,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
1752,HTML5 and CSS3 -Start building beautiful websites,True,150,1414,14,22,All Levels,2.5 hours,Web Development
2384,"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",True,195,556,11,27,Intermediate Level,4 hours,Musical Instruments
2712,Photoshop CC 2017 Full Course,True,90,655,18,150,Beginner Level,3.5 hours,Graphic Design
2462,Level 1 2014 CFA® Program – Derivatives,True,40,225,2,17,All Levels,2.5 hours,Business Finance
2588,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),True,150,1340,4,272,All Levels,26 hours,Business Finance
3387,The WpFASTER WordPress Speed Optimization Master Course,True,175,2134,215,55,All Levels,7 hours,Web Development
3189,Supreme NodeJS Course - For Beginners,True,200,1080,37,76,All Levels,3.5 hours,Web Development
1315,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,True,75,55,2,27,All Levels,5.5 hours,Business Finance
2251,Learn Lion (Saroo) Soundtrack On The Piano By Ear,True,20,104,0,9,All Levels,32 mins,Musical Instruments
1860,Interaction Design Specialist For Web Developers,True,95,8594,37,18,All Levels,2 hours,Web Development
2255,Learn Mobile App Design in Photoshop,True,20,11,1,13,Beginner Level,1.5 hours,Graphic Design
2909,Professional Risk Manager (PRM) Certification: Level 1,True,50,116,10,51,All Levels,24 hours,Business Finance
641,Build Your Own Backend REST API using Django REST Framework,True,50,2669,112,72,Intermediate Level,5.5 hours,Web Development
140,Acoustic Guitar After The Basics,True,45,181,17,25,Intermediate Level,2.5 hours,Musical Instruments
1226,Financial Accounting - A Brief Introduction,False,Free,17847,1440,17,Beginner Level,1 hour,Business Finance
239,AJAX : Let's build a COOL project,True,70,4183,292,38,All Levels,3.5 hours,Web Development
2554,Mastering ASP.NET MVC 5 From Scratch Using C#,True,50,417,65,109,All Levels,13 hours,Web Development
908,Create Awesome Ebook Covers Using Microsoft Word,True,45,447,6,23,All Levels,3.5 hours,Graphic Design
2442,Learning Drupal 8,True,50,577,97,101,All Levels,9.5 hours,Web Development
3629,WordPress Plugins Treasure Chest,True,25,1655,10,44,Intermediate Level,3 hours,Web Development
1561,How to achieve personal transformation,True,20,0,0,10,All Levels,32 mins,Business Finance
3223,Tenor Banjo for Absolute Beginners,False,Free,3167,161,34,Beginner Level,37 mins,Musical Instruments
2968,Quick Piano Lessons - Tutorials for Drake's Greatest Hits,True,35,19,1,4,All Levels,33 mins,Musical Instruments
2347,Learn to Create Deliverable Brand Identity Package,True,20,915,5,15,All Levels,1 hour,Graphic Design
3155,Stock Technical Analysis with R,True,50,354,32,49,All Levels,7 hours,Business Finance
1166,Enseñando música: mejora tus clases de instrumento,True,30,111,3,18,Beginner Level,1.5 hours,Musical Instruments
1458,Git a Web Developer Job: Mastering the Modern Workflow,True,200,5809,1445,61,Beginner Level,15 hours,Web Development
3355,The Original Complete Web Developer Course.,True,20,31070,742,195,Beginner Level,18 hours,Web Development
1634,"How to Get Growing, Passive Income from the Fortune 500!",True,25,4,0,12,All Levels,1 hour,Business Finance
3611,Wordpress Essentials: Useful Plugins,True,25,1087,7,24,Beginner Level,1 hour,Web Development
966,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,True,20,0,0,7,Beginner Level,2.5 hours,Business Finance
139,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,True,200,6565,55,56,All Levels,4 hours,Musical Instruments
2973,Quickly Batch Export & Package Logo Files for Clients,True,20,489,10,5,Intermediate Level,41 mins,Graphic Design
2443,Learning Dynamic Website Design - PHP MySQL and JavaScript,True,50,47886,285,125,All Levels,12.5 hours,Web Development
1596,How to Create a Wordpress Website from Scratch - No Coding,True,20,7018,28,38,All Levels,3 hours,Web Development
998,Curso de Guitarra para Principiantes,True,20,53,5,39,Beginner Level,3 hours,Musical Instruments
3596,WordPress : An Overview,True,45,1783,16,15,Beginner Level,36 mins,Web Development
1028,Design & Create Vector Graphics With Inkscape 2016,True,200,2091,11,26,Beginner Level,2.5 hours,Graphic Design
1297,Flat Design - Create Beautiful Flat Graphics In Photoshop,True,20,545,13,23,All Levels,2 hours,Graphic Design
597,Build a Responsive Website with a Modern Flat Design,False,Free,16527,354,17,All Levels,2 hours,Web Development
1552,Horn Pro Series - You're going to love playing French Horn,True,50,48,3,61,All Levels,8 hours,Musical Instruments
2718,Photoshop CS 6 ile Fotoğraf İşlemenin Temelleri,True,20,86,10,78,Beginner Level,6 hours,Graphic Design
3407,Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,True,170,206,39,39,All Levels,6.5 hours,Business Finance
365,Aprender a tocar la batería sin salir de casa,True,50,10,0,23,All Levels,4 hours,Musical Instruments
1157,Electric Guitar for Beginners - RockStarter Level 1,True,40,491,5,29,Beginner Level,2.5 hours,Musical Instruments
593,Build a Photo Blog with Ruby on Rails,True,20,2281,32,21,Intermediate Level,1.5 hours,Web Development
395,Backbone Tutorial: Learn Backbonejs from Scratch,True,90,4957,634,60,All Levels,5.5 hours,Web Development
54,88 Logic - The Essential Guide To Learning Piano,True,25,3,0,5,Beginner Level,32 mins,Musical Instruments
1281,Finding an Unlimited Amount of Investors,True,80,1187,6,6,All Levels,42 mins,Business Finance
342,Aprende a tocar la flauta dulce de forma sencilla y gradual,True,50,5,0,23,All Levels,3 hours,Musical Instruments
1839,Instant Harmonica - play Summertime in 8 fun & easy lessons,True,40,81,7,11,Beginner Level,1 hour,Musical Instruments
1277,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,True,20,50,18,13,Beginner Level,1.5 hours,Business Finance
561,Bootstrap 4 Quick Start: Code Modern Responsive Websites,False,Free,41478,2104,13,All Levels,3 hours,Web Development
126,Accounting Is Easy (for Beginners),True,20,3870,12,90,All Levels,9 hours,Business Finance
788,Como Investir em Ações para Iniciantes,False,Free,6024,890,18,All Levels,1 hour,Business Finance
2656,تصميم القوالب الدائرية بالفيغاس | Circular Templates Vegas,True,20,5,2,9,All Levels,36 mins,Graphic Design
2807,Piano Technique Exercises Vol.1,True,50,1674,4,24,All Levels,1 hour,Musical Instruments
2362,Learn to Make an Animated Image Gallery using HTML5,False,Free,11080,165,7,Beginner Level,1 hour,Web Development
481,Beginner's Guitar Lessons - Crash Course for Busy Adults,True,50,1194,9,29,Beginner Level,2 hours,Musical Instruments
2846,Play Piano 4: Improvise on popular song Yesterday chords,True,50,1018,4,63,All Levels,1.5 hours,Musical Instruments
3009,Responsive Html5 Theme Development,True,20,1517,4,12,All Levels,1 hour,Web Development
208,Advanced Javascript,True,200,6601,1304,26,Intermediate Level,3.5 hours,Web Development
2143,Learn Bootstrap3 With Multi Purposes Single Page Layout,False,Free,4503,146,122,All Levels,21 hours,Web Development
147,Adobe - Create a professional logo step-by-step (Farming),True,20,214,0,15,All Levels,1 hour,Graphic Design
3583,What Finance Job is for You? Explanation of 14 Finance Roles,True,200,2951,232,60,All Levels,4 hours,Business Finance
